code,parentCode,level,nameKr
PS08001,PS08,3,금속
PS08001001,PS08001,4,금
PS08001002,PS08001,4,은
PS08001003,PS08001,4,금동
PS08001004,PS08001,4,동합금
PS08001005,PS08001,4,철
PS08001006,PS08001,4,복합금속
PS08001007,PS08001,4,주석
PS08001008,PS08001,4,동
PS08001009,PS08001,4,백금
PS08001010,PS08001,4,백동
PS08001011,PS08001,4,청동
PS08001012,PS08001,4,황동
PS08001013,PS08001,4,알루미늄
PS08001014,PS08001,4,아연
PS08001015,PS08001,4,니켈
PS08001016,PS08001,4,납
PS08001017,PS08001,4,수은
PS08001018,PS08001,4,함석철
PS08001019,PS08001,4,자석
PS08001099,PS08001,4,기타
PS08002,PS08,3,흙
PS08002001,PS08002,4,연질
PS08002002,PS08002,4,와질
PS08002003,PS08002,4,경질
PS08002004,PS08002,4,소조
PS08002099,PS08002,4,기타
PS08003,PS08,3,도자기
PS08003001,PS08003,4,청자
PS08003002,PS08003,4,분청
PS08003003,PS08003,4,백자
PS08003004,PS08003,4,흑유
PS08003005,PS08003,4,연유
PS08003006,PS08003,4,백태청유자
PS08003007,PS08003,4,청백자
PS08003008,PS08003,4,백탁유
PS08003009,PS08003,4,잡유
PS08003010,PS08003,4,갈유
PS08003011,PS08003,4,석간주
PS08003012,PS08003,4,천목
PS08003013,PS08003,4,삼채
PS08003014,PS08003,4,오채
PS08003015,PS08003,4,옹기
PS08003099,PS08003,4,기타
PS08004,PS08,3,돌
PS08004001,PS08004,4,화강암
PS08004002,PS08004,4,섬록암
PS08004003,PS08004,4,안산암
PS08004004,PS08004,4,현무암
PS08004005,PS08004,4,응회암
PS08004006,PS08004,4,사암
PS08004007,PS08004,4,혈암
PS08004008,PS08004,4,점판암
PS08004009,PS08004,4,석회암
PS08004010,PS08004,4,편마암
PS08004011,PS08004,4,대리석
PS08004099,PS08004,4,기타
PS08005,PS08,3,유리/보석
PS08005001,PS08005,4,유리
PS08005002,PS08005,4,수정
PS08005003,PS08005,4,마노
PS08005004,PS08005,4,호박
PS08005005,PS08005,4,비취
PS08005006,PS08005,4,천하석
PS08005007,PS08005,4,밀화
PS08005008,PS08005,4,옥
PS08005009,PS08005,4,진주
PS08005010,PS08005,4,산호
PS08005011,PS08005,4,금패
PS08005012,PS08005,4,석웅황
PS08005013,PS08005,4,파란(琺瑯)
PS08005099,PS08005,4,기타
PS08006,PS08,3,풀
PS08006001,PS08006,4,볏짚
PS08006002,PS08006,4,칡
PS08006003,PS08006,4,갈대
PS08006004,PS08006,4,왕골
PS08006005,PS08006,4,띠
PS08006006,PS08006,4,댕댕이
PS08006007,PS08006,4,삼
PS08006008,PS08006,4,보릿짚
PS08006009,PS08006,4,밀짚
PS08006010,PS08006,4,부들
PS08006011,PS08006,4,골풀
PS08006012,PS08006,4,박
PS08006013,PS08006,4,수수
PS08006014,PS08006,4,고추
PS08006015,PS08006,4,뺑대쑥
PS08006016,PS08006,4,옥수수
PS08006017,PS08006,4,인동덩굴
PS08006099,PS08006,4,기타
PS08007,PS08,3,나무
PS08007001,PS08007,4,가래나무
PS08007002,PS08007,4,가시나무
PS08007003,PS08007,4,가죽나무
PS08007004,PS08007,4,감나무
PS08007005,PS08007,4,개오동나무
PS08007006,PS08007,4,갯버들
PS08007007,PS08007,4,고로쇠나무
PS08007008,PS08007,4,고리버들
PS08007009,PS08007,4,고욤나무
PS08007010,PS08007,4,굴피나무
PS08007011,PS08007,4,꽝꽝나무
PS08007012,PS08007,4,꾸지뽕나무
PS08007013,PS08007,4,느릅나무
PS08007014,PS08007,4,느티나무
PS08007015,PS08007,4,단풍나무
PS08007016,PS08007,4,대나무
PS08007017,PS08007,4,대추나무
PS08007018,PS08007,4,때죽나무
PS08007019,PS08007,4,모과나무
PS08007020,PS08007,4,물푸레나무
PS08007021,PS08007,4,박달나무
PS08007022,PS08007,4,밤나무
PS08007023,PS08007,4,배나무
PS08007024,PS08007,4,버드나무
PS08007025,PS08007,4,벚나무
PS08007026,PS08007,4,붉가시나무
PS08007027,PS08007,4,분비나무
PS08007028,PS08007,4,비자나무
PS08007029,PS08007,4,뽕나무
PS08007030,PS08007,4,소나무
PS08007031,PS08007,4,싸리나무
PS08007032,PS08007,4,오동나무
PS08007033,PS08007,4,오리나무
PS08007034,PS08007,4,은행나무
PS08007035,PS08007,4,음나무
PS08007036,PS08007,4,잎갈나무
PS08007037,PS08007,4,잣나무
PS08007038,PS08007,4,전나무
PS08007039,PS08007,4,주목
PS08007040,PS08007,4,참나무
PS08007041,PS08007,4,참죽나무
PS08007042,PS08007,4,팽나무
PS08007043,PS08007,4,피나무
PS08007044,PS08007,4,향나무
PS08007045,PS08007,4,호도나무
PS08007046,PS08007,4,회양목
PS08007047,PS08007,4,자단목
PS08007048,PS08007,4,닥
PS08007049,PS08007,4,등나무
PS08007099,PS08007,4,기타
PS08008,PS08,3,뼈/뿔/조개
PS08008001,PS08008,4,인골
PS08008002,PS08008,4,수골
PS08008003,PS08008,4,조골
PS08008004,PS08008,4,어골
PS08008005,PS08008,4,수각
PS08008006,PS08008,4,상아
PS08008007,PS08008,4,패각
PS08008008,PS08008,4,대모
PS08008009,PS08008,4,나전
PS08008010,PS08008,4,화각
PS08008011,PS08008,4,알껍질
PS08008099,PS08008,4,기타
PS08009,PS08,3,종이
PS08009001,PS08009,4,저지
PS08009002,PS08009,4,마지
PS08009003,PS08009,4,고정지
PS08009004,PS08009,4,상지
PS08009005,PS08009,4,면지
PS08009006,PS08009,4,죽지
PS08009007,PS08009,4,안피지
PS08009008,PS08009,4,삼아지
PS08009009,PS08009,4,양지
PS08009099,PS08009,4,기타
PS08010,PS08,3,가죽/털
PS08010001,PS08010,4,호피
PS08010002,PS08010,4,양피
PS08010003,PS08010,4,우피
PS08010004,PS08010,4,어피
PS08010005,PS08010,4,양모
PS08010006,PS08010,4,황모
PS08010007,PS08010,4,저모
PS08010008,PS08010,4,말총
PS08010009,PS08010,4,인모
PS08010010,PS08010,4,꿩털
PS08010011,PS08010,4,닭털
PS08010012,PS08010,4,개가죽
PS08010013,PS08010,4,뱀가죽
PS08010014,PS08010,4,악어가죽
PS08010015,PS08010,4,토끼털
PS08010016,PS08010,4,수염
PS08010017,PS08010,4,표피
PS08010099,PS08010,4,기타
PS08011,PS08,3,섬유
PS08011001,PS08011,4,견
PS08011002,PS08011,4,마
PS08011003,PS08011,4,면
PS08011004,PS08011,4,저
PS08011005,PS08011,4,모직
PS08011006,PS08011,4,합성섬유
PS08011099,PS08011,4,기타
PS08012,PS08,3,씨앗
PS08012001,PS08012,4,곡물
PS08012002,PS08012,4,과실
PS08012003,PS08012,4,코코낫열매
PS08012099,PS08012,4,기타
PS08013,PS08,3,광물
PS08013001,PS08013,4,원소
PS08013002,PS08013,4,황화
PS08013003,PS08013,4,할로겐
PS08013004,PS08013,4,산화
PS08013005,PS08013,4,수산화
PS08013006,PS08013,4,질산염
PS08013007,PS08013,4,탄산염
PS08013008,PS08013,4,붕산염
PS08013009,PS08013,4,황산염
PS08013010,PS08013,4,크롬산염
PS08013011,PS08013,4,텅스텐산염
PS08013012,PS08013,4,몰리브덴산염
PS08013013,PS08013,4,인산염
PS08013014,PS08013,4,비산염
PS08013015,PS08013,4,바나륨산염
PS08013016,PS08013,4,규산염
PS08013017,PS08013,4,유기염
PS08013018,PS08013,4,외계기원
PS08013019,PS08013,4,유황
PS08013099,PS08013,4,기타
PS08014,PS08,3,화석
PS08014001,PS08014,4,고생대
PS08014002,PS08014,4,중생대
PS08014003,PS08014,4,신생대
PS08014004,PS08014,4,원생대
PS08014099,PS08014,4,기타
PS08015,PS08,3,고무
PS08016,PS08,3,합성재질
PS08016001,PS08016,4,합성고무
PS08016002,PS08016,4,합성수지
PS08016003,PS08016,4,인조가죽
PS08016004,PS08016,4,합성섬유
PS08017,PS08,3,칠기
PS08017001,PS08017,4,흑칠
PS08017002,PS08017,4,주칠
PS08099,PS08,3,기타
PS08099001,PS08099,4,합성고무
PS08099002,PS08099,4,합성수지
PS08099003,PS08099,4,숯
PS08099004,PS08099,4,고무
PS08099005,PS08099,4,먹
PS08099006,PS08099,4,밀랍
PS08099007,PS08099,4,인주
PS08099008,PS08099,4,파라핀
PS08099009,PS08099,4,석고
PS08099099,PS08099,4,기타
