root,parentCode,code,level,nameKr
region,PS01,PS01005,3,학교
region,PS01,PS01004,3,법인/사립
region,PS01,PS01003,3,공립
region,PS01,PS01002,3,국립2
region,PS01,PS01001,3,국립1
region,PS01005,PS01005161,4,제주한라디지털아트뮤지엄
region,PS01005,PS01005159,4,부산교육대학교 교육박물관
region,PS01005,PS01005157,4,숙명여자대학교 정영양자수박물관
region,PS01005,PS01005156,4,아주대학교 도구박물관
region,PS01005,PS01005151,4,강릉원주대학교박물관
region,PS01005,PS01005144,4,진주교대 교육박물관
region,PS01005,PS01005138,4,대구보건대학교 인당박물관
region,PS01005,PS01005128,4,서울대학교 치의학박물관
region,PS01005,PS01005117,4,대구한의대
region,PS01005,PS01005114,4,청강만화역사박물관
region,PS01005,PS01005084,4,대구대학교 중앙박물관
region,PS01005,PS01005079,4,영남대학교박물관
region,PS01005,PS01005077,4,한림대
region,PS01005,PS01005075,4,한국교원대학교 교육박물관
region,PS01005,PS01005063,4,전주대
region,PS01005,PS01005060,4,경기대학교소성박물관
region,PS01005,PS01005054,4,한남대학교중앙박물관
region,PS01005,PS01005044,4,한양대
region,PS01005,PS01005041,4,동덕여자대학교 박물관
region,PS01005,PS01005040,4,대구가톨릭대학교 역사·박물관
region,PS01005,PS01005039,4,경남대학교 박물관
region,PS01005,PS01005029,4,숙명여대
region,PS01005,PS01005023,4,이화여자대학교 자연사박물관
region,PS01005,PS01005016,4,홍익대학교박물관
region,PS01005,PS01005015,4,성신여자대학교 박물관
region,PS01005,PS01005011,4,동국대
region,PS01005,PS01005010,4,건국대
region,PS01005,PS01005009,4,전북대
region,PS01005,PS01005008,4,동아대학교 석당박물관
region,PS01005,PS01005003,4,서울대학교박물관
region,PS01004,PS01004529,4,구바울기념의학박물관
region,PS01004,PS01004526,4,한국효문화진흥원
region,PS01004,PS01004525,4,의암류인석기념관
region,PS01004,PS01004522,4,과천사료박물관
region,PS01004,PS01004516,4,불교천태중앙박물관
region,PS01004,PS01004515,4,시에그린 한국시화박물관
region,PS01004,PS01004506,4,박경리뮤지엄
region,PS01004,PS01004500,4,박정희대통령기념재단
region,PS01004,PS01004499,4,영천역사박물관
region,PS01004,PS01004497,4,청우요 도자기박물관
region,PS01004,PS01004492,4,영암곤충박물관
region,PS01004,PS01004490,4,브이센터 더 라이브 뮤지엄
region,PS01004,PS01004485,4,책과인쇄박물관
region,PS01004,PS01004478,4,남가람박물관
region,PS01004,PS01004477,4,아세안문화원
region,PS01004,PS01004469,4,심장박물관
region,PS01004,PS01004468,4,김해한림박물관
region,PS01004,PS01004464,4,여주곤충박물관
region,PS01004,PS01004463,4,얼음골축음기소리박물관
region,PS01004,PS01004461,4,화엄사성보박물관
region,PS01004,PS01004458,4,세계인형박물관
region,PS01004,PS01004454,4,한국대중음악박물관
region,PS01004,PS01004449,4,한국조리박물관
region,PS01004,PS01004447,4,서울서예박물관
region,PS01004,PS01004446,4,박물관휴르
region,PS01004,PS01004445,4,부천로보파크전시관
region,PS01004,PS01004440,4,영월초등교육박물관
region,PS01004,PS01004438,4,이풀실내정원
region,PS01004,PS01004433,4,안면도쥬라기박물관
region,PS01004,PS01004428,4,한국자연사박물관
region,PS01004,PS01004426,4,담양우표박물관
region,PS01004,PS01004424,4,연기향토박물관
region,PS01004,PS01004420,4,한국전통창조박물관
region,PS01004,PS01004419,4,묵산미술박물관
region,PS01004,PS01004417,4,우리삶문화옥당박물관
region,PS01004,PS01004415,4,북촌생활사박물관
region,PS01004,PS01004413,4,영집궁시박물관
region,PS01004,PS01004409,4,도계민화박물관
region,PS01004,PS01004405,4,인도미술박물관
region,PS01004,PS01004404,4,사람박물관 얼굴
region,PS01004,PS01004403,4,한국스카우트연맹
region,PS01004,PS01004401,4,울산해양박물관
region,PS01004,PS01004398,4,귀족호도박물관
region,PS01004,PS01004397,4,영월아프리카미술박물관
region,PS01004,PS01004395,4,이한열기념관
region,PS01004,PS01004394,4,세계술문화박물관 리쿼리움
region,PS01004,PS01004393,4,지적박물관
region,PS01004,PS01004392,4,한익환서울아트
region,PS01004,PS01004388,4,송광사성보박물관
region,PS01004,PS01004387,4,벽봉한국장신구박물관
region,PS01004,PS01004386,4,짚풀생활사박물관
region,PS01004,PS01004383,4,유진민속박물관
region,PS01004,PS01004381,4,피규어뮤지엄W
region,PS01004,PS01004380,4,한국식기박물관
region,PS01004,PS01004378,4,왈츠와 닥터만 커피박물관
region,PS01004,PS01004376,4,농민문학기념관
region,PS01004,PS01004375,4,환희컵박물관
region,PS01004,PS01004371,4,혜곡최순우기념관
region,PS01004,PS01004370,4,한국색동박물관
region,PS01004,PS01004369,4,세계다문화박물관
region,PS01004,PS01004367,4,혜명단청박물관
region,PS01004,PS01004364,4,조안베어뮤지엄
region,PS01004,PS01004351,4,한국도량형박물관
region,PS01004,PS01004350,4,타임앤블레이드박물관
region,PS01004,PS01004345,4,호야지리박물관
region,PS01004,PS01004343,4,두루뫼박물관
region,PS01004,PS01004342,4,북촌동양문화
region,PS01004,PS01004338,4,춘원당한방
region,PS01004,PS01004333,4,한국카메라박물관
region,PS01004,PS01004332,4,탄허기념
region,PS01004,PS01004330,4,세계민속악기박물관
region,PS01004,PS01004325,4,김포다도
region,PS01004,PS01004318,4,영인문학관
region,PS01004,PS01004309,4,파주나비나라
region,PS01004,PS01004293,4,한향림옹기
region,PS01004,PS01004289,4,해금강테마
region,PS01004,PS01004284,4,범패박물관
region,PS01004,PS01004283,4,배다골민속박물관
region,PS01004,PS01004281,4,국제성서
region,PS01004,PS01004269,4,김달진미술자료박물관
region,PS01004,PS01004265,4,부산포민속박물관
region,PS01004,PS01004253,4,가회민화박물관
region,PS01004,PS01004251,4,월정사성보
region,PS01004,PS01004249,4,한얼문예
region,PS01004,PS01004245,4,조선민화박물관
