code,parentCode,level,nameKr,nameEn
PS06001,PS06,3,한국,Korea
PS06001001,PS06001,4,구석기,Old Stone Age
PS06001002,PS06001,4,중석기,Middle Stone Age
PS06001003,PS06001,4,신석기,Neolithic Age
PS06001004,PS06001,4,청동기,Bronze Age
PS06001005,PS06001,4,초기철기,the Early Iron Age
PS06001006,PS06001,4,원삼국,Proto-three Kingdoms
PS06001007,PS06001,4,낙랑,Nangnang
PS06001008,PS06001,4,고구려,Goguryeo
PS06001009,PS06001,4,백제,Baekje
PS06001010,PS06001,4,신라,Silla
PS06001011,PS06001,4,가야,Gaya
PS06001012,PS06001,4,삼국,Three Kingdoms
PS06001013,PS06001,4,통일신라,Unified Silla
PS06001014,PS06001,4,발해,Balhae
PS06001015,PS06001,4,라말여초,Late Silla to Early Goryeo
PS06001016,PS06001,4,고려,Goryeo
PS06001017,PS06001,4,려말선초,Late Goryeo Early Joseon
PS06001018,PS06001,4,조선,Joseon
PS06001019,PS06001,4,대한제국,Daehanjeguk
PS06001020,PS06001,4,일제강점,Japanese Rule of Korea by force
PS06001021,PS06001,4,광복이후,After Independence
PS06001022,PS06001,4,2000년 이후,After 2000
PS06001099,PS06001,4,시대미상,Age Unknown
PS06002,PS06,3,중국,China
PS06002001,PS06002,4,구석기,Paleolithic Age
PS06002002,PS06002,4,신석기,Neolithic Age
PS06002003,PS06002,4,상,Sang
PS06002004,PS06002,4,서주,West Ju
PS06002005,PS06002,4,춘추,the Age of Chunchu
PS06002006,PS06002,4,전국,the Age of Warring States
PS06002007,PS06002,4,진,Jin
PS06002008,PS06002,4,전한,the Earlier Han
PS06002009,PS06002,4,신,Sin
PS06002010,PS06002,4,후한,the Later Han
PS06002011,PS06002,4,삼국,Three Kingdoms
PS06002012,PS06002,4,동진,East Jin
PS06002013,PS06002,4,남진,South Jin
PS06002014,PS06002,4,남북조,the Period of North and South Dynasties
PS06002015,PS06002,4,수,Sui
PS06002016,PS06002,4,당,Tang
PS06002017,PS06002,4,오대,the Period of the Strong Five States
PS06002018,PS06002,4,송,Song
PS06002019,PS06002,4,원,Yuan
PS06002020,PS06002,4,명,Ming
PS06002021,PS06002,4,청,Qing
PS06002022,PS06002,4,근대,Modern
PS06002023,PS06002,4,1945년이후,After 1945
PS06002024,PS06002,4,2000년 이후,After 2000
PS06002025,PS06002,4,소수민족(티베트),
PS06002026,PS06002,4,소수민족(걸라오),
PS06002027,PS06002,4,소수민족(고산),
PS06002028,PS06002,4,소수민족(나씨),
PS06002029,PS06002,4,소수민족(누),
PS06002030,PS06002,4,소수민족(다워르),
PS06002031,PS06002,4,소수민족(다이),
PS06002032,PS06002,4,소수민족(두룽),
PS06002033,PS06002,4,소수민족(뚱상),
PS06002034,PS06002,4,소수민족(라꾸),
PS06002035,PS06002,4,소수민족(러빠),
PS06002036,PS06002,4,소수민족(리쑤),
PS06002037,PS06002,4,소수민족(리),
PS06002038,PS06002,4,소수민족(마오난),
PS06002039,PS06002,4,소수민족(만),
PS06002040,PS06002,4,소수민족(먼빠),
PS06002041,PS06002,4,소수민족(몽고),
PS06002042,PS06002,4,소수민족(무라오),
PS06002043,PS06002,4,소수민족(미야오),
PS06002044,PS06002,4,소수민족(백러시아),
PS06002045,PS06002,4,소수민족(빠오안),
PS06002046,PS06002,4,소수민족(빠이),
PS06002047,PS06002,4,소수민족(수이),
PS06002048,PS06002,4,소수민족(싸라),
PS06002049,PS06002,4,소수민족(써),
PS06002050,PS06002,4,소수민족(씨버),
PS06002051,PS06002,4,소수민족(아창),
PS06002052,PS06002,4,소수민족(야오),
PS06002053,PS06002,4,소수민족(어룬춘),
PS06002054,PS06002,4,소수민족(와),
PS06002055,PS06002,4,소수민족(우즈베크),
PS06002056,PS06002,4,소수민족(원크),
PS06002057,PS06002,4,소수민족(위구르),
PS06002058,PS06002,4,소수민족(위꾸),
PS06002059,PS06002,4,소수민족(이),
PS06002060,PS06002,4,소수민족(조선),
PS06002061,PS06002,4,소수민족(지누어),
PS06002062,PS06002,4,소수민족(징),
PS06002063,PS06002,4,소수민족(쫭),
