code,parentCode,level,nameKr
PS09099,PS09,3,기타자료
PS09013,PS09,3,미디어
PS09012,PS09,3,과학기술
PS09011,PS09,3,보건의료
PS09010,PS09,3,군사
PS09009,PS09,3,문화예술
PS09008,PS09,3,종교신앙
PS09007,PS09,3,사회생활
PS09006,PS09,3,전통과학
PS09005,PS09,3,교통/통신
PS09004,PS09,3,산업/생업
PS09003,PS09,3,주생활
PS09002,PS09,3,식생활
PS09001,PS09,3,의생활
PS09099099,PS09099,4,기타
PS09099005,PS09099,4,용도불명
PS09099004,PS09099,4,표본
PS09099003,PS09099,4,복원
PS09099002,PS09099,4,복제
PS09099001,PS09099,4,모형
PS09013099,PS09013,4,기타
PS09013003,PS09013,4,신문/방송
PS09013002,PS09013,4,광고
PS09013001,PS09013,4,기록물
PS09012099,PS09012,4,기타
PS09012010,PS09012,4,장비
PS09012009,PS09012,4,실험기기
PS09012008,PS09012,4,지질
PS09012007,PS09012,4,천문기상
PS09012006,PS09012,4,에너지기술
PS09012005,PS09012,4,자동차공학
PS09012004,PS09012,4,조선해양
PS09012003,PS09012,4,기계공학
PS09012002,PS09012,4,전자공학
PS09012001,PS09012,4,항공우주
PS09011099,PS09011,4,기타
PS09011004,PS09011,4,의료문서
PS09011003,PS09011,4,의학도서
PS09011002,PS09011,4,약(약재)
PS09011001,PS09011,4,의료기기
PS09010099,PS09010,4,기타
PS09010010,PS09010,4,호국현양
PS09010009,PS09010,4,노획품
PS09010008,PS09010,4,유류품
PS09010007,PS09010,4,문서/서적
PS09010006,PS09010,4,기치
PS09010005,PS09010,4,표식/제식
PS09010004,PS09010,4,복식
PS09010003,PS09010,4,장비
PS09010002,PS09010,4,화약무기
PS09010001,PS09010,4,근력무기
PS09009099,PS09009,4,기타
PS09009011,PS09009,4,행사
PS09009010,PS09009,4,스포츠
PS09009009,PS09009,4,영상예술
PS09009008,PS09009,4,사진예술
PS09009007,PS09009,4,놀이/여가
PS09009006,PS09009,4,무용/극
PS09009005,PS09009,4,공예
PS09009004,PS09009,4,조각
PS09009003,PS09009,4,서화
PS09009002,PS09009,4,음악
PS09009001,PS09009,4,문헌
PS09008099,PS09008,4,기타
PS09008009,PS09008,4,힌두교
PS09008008,PS09008,4,이슬람교
PS09008007,PS09008,4,천도교
PS09008006,PS09008,4,원불교
PS09008005,PS09008,4,천주교
PS09008004,PS09008,4,기독교(개신교)
PS09008003,PS09008,4,민간신앙
PS09008002,PS09008,4,유교
PS09008001,PS09008,4,불교
PS09007099,PS09007,4,기타
PS09007006,PS09007,4,교육
PS09007005,PS09007,4,사회운동
PS09007004,PS09007,4,의전
PS09007003,PS09007,4,기념
PS09007002,PS09007,4,사회제도
PS09007001,PS09007,4,의례생활
PS09006099,PS09006,4,기타
PS09006006,PS09006,4,판류
PS09006005,PS09006,4,인장
PS09006004,PS09006,4,인쇄
PS09006003,PS09006,4,의료
PS09006002,PS09006,4,지리
PS09006001,PS09006,4,천문
PS09005099,PS09005,4,기타
PS09005090,PS09005,4,관련도서
PS09005008,PS09005,4,교통/관광안내
PS09005007,PS09005,4,선박용구
PS09005006,PS09005,4,항로표지
PS09005005,PS09005,4,신호
PS09005004,PS09005,4,통신
PS09005003,PS09005,4,수레부속구
PS09005002,PS09005,4,마구
PS09005001,PS09005,4,교통운송
PS09004099,PS09004,4,기타
PS09004090,PS09004,4,관련도서
PS09004012,PS09004,4,건설업
PS09004011,PS09004,4,제조업
PS09004010,PS09004,4,상업
PS09004009,PS09004,4,재래공업
PS09004008,PS09004,4,수렵
PS09004007,PS09004,4,광업
PS09004006,PS09004,4,양잠봉
PS09004005,PS09004,4,축산
PS09004004,PS09004,4,임업
PS09004003,PS09004,4,어업
PS09004002,PS09004,4,농업
PS09004001,PS09004,4,선사생활
PS09003099,PS09003,4,기타
PS09003004,PS09003,4,건축/보수시공
PS09003003,PS09003,4,생활용품/가전
PS09003002,PS09003,4,건축부재
PS09003001,PS09003,4,건축물
PS09002099,PS09002,4,기타
PS09002090,PS09002,4,관련도서
PS09002005,PS09002,4,주방잡화
PS09002004,PS09002,4,주방설비
PS09002003,PS09002,4,가공
PS09002002,PS09002,4,취사
PS09002001,PS09002,4,음식기
PS09001099,PS09001,4,기타
PS09001090,PS09001,4,관련도서
PS09001007,PS09001,4,직물
PS09001006,PS09001,4,보관/휴대
PS09001005,PS09001,4,장신구
PS09001004,PS09001,4,신발
PS09001003,PS09001,4,대/구
PS09001002,PS09001,4,의류
PS09001001,PS09001,4,관모
